strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,1,4,5,6,8.477063250929162e-10,-1.1100638802722512e-06,-6.816797134340405e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,4,6,7,8.277345094259167e-10,-7.939345560789872e-07,-6.102823604939811e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,4,7,8,8.45291105654421e-10,-1.0510476101547803e-06,-7.233625955143085e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,4,8,9,8.637638248392068e-10,-1.597670702226843e-06,-7.808312487281512e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,5,0,1,9.360074363484285e-10,1.2065329025590717e-06,5.376468943518774e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,5,1,2,9.55221947891699e-10,1.4158756764716008e-06,7.84958259936396e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,5,2,3,9.552219478929912e-10,8.194188478584172e-07,7.285213349256874e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,1,5,3,4,9.370632074928754e-10,6.390683202920002e-07,7.480214948632491e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,5,5,6,9.552405710490778e-10,-7.707200565604288e-07,-8.423237452497106e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,
PR8,1,5,6,7,9.552219478929912e-10,-8.266411420722584e-07,-7.510135607699776e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,5,7,8,9.72816897452545e-10,-1.357994302457792e-06,-6.079093511882747e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860876635e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,5,8,9,9.536343213868133e-10,-8.083790953355128e-07,-6.731161873159671e-07,1.0317537860876635e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,6,0,1,1.6729681907940492e-09,8.937050987495683e-07,8.921575310437945e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,6,1,2,1.6729854933052719e-09,1.2529618032928853e-06,5.790202235327072e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,6,2,3,1.6749633824348768e-09,1.043722148040897e-06,6.426794427567713e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,6,3,4,1.6769585740762392e-09,7.803154092517507e-07,5.953219325646302e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,
PR8,1,6,5,6,1.6779561698966198e-09,-8.540857714999971e-07,-6.701240722113843e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,
PR8,1,6,6,7,1.6769585740756374e-09,-1.0458888215807171e-06,-6.167824302057864e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,6,7,8,1.6938621784186476e-09,-9.618008328834612e-07,-7.101561202896419e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,6,8,9,1.6551162595701447e-09,-9.172291511927012e-07,-7.864027581373505e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,7,0,1,1.6172293411628368e-09,1.0065789487709856e-06,6.292666317310487e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,1,2,1.6190789209228506e-09,7.044814921777689e-07,5.798456159347853e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,2,3,1.620946370658614e-09,4.50773224781973e-07,7.368785744405591e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,3,4,1.6209463706592355e-09,8.15601389494502e-07,7.214022578107141e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,5,6,1.6384819962221426e-09,-9.638643876854378e-07,-6.554731971814717e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,6,7,1.6190789209228506e-09,-3.7751870203884717e-07,-6.201872169124811e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,7,7,8,1.6172114711870242e-09,-6.527906349763273e-07,-6.166792623052585e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,pixel sizes differ between source_img and target_img
PR8,1,7,8,9,1.6521941200666972e-09,-1.1899216406677237e-06,-5.585915032925394e-07,1.0317537860529691e-07,1.0317537860182746e-07,1.0317537860529691e-07,1.0317537860182746e-07,
PR8,1,8,0,1,1.7432664919552314e-09,4.82654418344269e-07,6.729098023170569e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,1,2,1.799505267823522e-09,3.267564297389387e-07,6.651716686010615e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,2,3,1.8558257536675103e-09,8.937050987495683e-07,6.608383215917608e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,3,4,1.9122279804373306e-09,1.0017297130611907e-06,5.813932820362679e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,5,6,1.9675402253021894e-09,-1.1267782609062862e-06,-7.190291993071536e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
PR8,1,8,6,7,1.9848131422392795e-09,-9.12689369986636e-07,-6.348380919423937e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,1.0317537860182746e-07,
